RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName
96629,996,92078,zip,CA,CA,San Marcos,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
96206,997,90703,zip,CA,CA,Cerritos,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
96743,998,92234,zip,CA,CA,Cathedral City,"Riverside-San Bernardino-Ontario, CA",Riverside County
84642,999,60643,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
91689,1000,77040,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County
87563,1001,67401,zip,KS,KS,Salina,"Salina, KS",Saline County
96180,1002,90620,zip,CA,CA,Buena Park,"Los Angeles-Long Beach-Anaheim, CA",Orange County
70871,1003,30093,zip,GA,GA,Norcross,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
74003,1004,36695,zip,AL,AL,Mobile,"Mobile, AL",Mobile County
99013,1005,97007,zip,OR,OR,Beaverton,"Portland-Vancouver-Hillsboro, OR-WA",Washington County
60390,1006,06606,zip,CT,CT,Bridgeport,"Bridgeport-Stamford-Norwalk, CT",Fairfield County
91713,1007,77064,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County
96618,1008,92064,zip,CA,CA,Poway,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
86034,1009,63385,zip,MO,MO,Wentzville,"St. Louis, MO-IL",Saint Charles County
98067,1010,95240,zip,CA,CA,Lodi,"Stockton, CA",San Joaquin County
99491,1011,98003,zip,WA,WA,Federal Way,"Seattle-Tacoma-Bellevue, WA",King County
96027,1012,90046,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
65863,1013,19335,zip,PA,PA,Downingtown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Chester County
91463,1014,76542,zip,TX,TX,Killeen,"Killeen-Temple, TX",Bell County
83139,1015,57106,zip,SD,SD,Sioux Falls,"Sioux Falls, SD",Minnehaha County
66834,1016,21224,zip,MD,MD,Baltimore,"Baltimore-Columbia-Towson, MD",Baltimore City
91212,1017,76051,zip,TX,TX,Grapevine,"Dallas-Fort Worth-Arlington, TX",Tarrant County
94352,1018,83854,zip,ID,ID,Post Falls,"Coeur d'Alene, ID",Kootenai County
96995,1019,92691,zip,CA,CA,Mission Viejo,"Los Angeles-Long Beach-Anaheim, CA",Orange County
89319,1019,72034,zip,AR,AR,Conway,"Little Rock-North Little Rock-Conway, AR",Faulkner County
97226,1021,93311,zip,CA,CA,Bakersfield,"Bakersfield, CA",Kern County
